Column 3,EdgeBetweenness,interaction,name,selected,shared interaction,shared name,status
0.7021616,14.02151403,interacts with,C134_0101_a_at (interacts with) C134_0028_a_at,FALSE,interacts with,C134_0101_a_at (interacts with) C134_0028_a_at,up
0.7006767,9.91806499,interacts with,C134_0101_a_at (interacts with) C134_0082_a_at,FALSE,interacts with,C134_0101_a_at (interacts with) C134_0082_a_at,up
0.7002336,17.54670663,interacts with,C134_0101_a_at (interacts with) C134_0092_a_at,FALSE,interacts with,C134_0101_a_at (interacts with) C134_0092_a_at,up
0.7279351,9.63843683,interacts with,C134_0102_at (interacts with) C134_0054_a_at,FALSE,interacts with,C134_0102_at (interacts with) C134_0054_a_at,down
0.7684835,26.61509186,interacts with,C134_0107_a_at (interacts with) C134_0015_a_at,FALSE,interacts with,C134_0107_a_at (interacts with) C134_0015_a_at,up
0.7308325,18.51074927,interacts with,C134_0107_a_at (interacts with) C134_0093_a_at,FALSE,interacts with,C134_0107_a_at (interacts with) C134_0093_a_at,up
0.7074225,16.6836547,interacts with,C134_0111_a_at (interacts with) C134_0020_a_at,FALSE,interacts with,C134_0111_a_at (interacts with) C134_0020_a_at,up
0.8154785,12.5401562,interacts with,C134_0111_a_at (interacts with) C134_0021_a_at,FALSE,interacts with,C134_0111_a_at (interacts with) C134_0021_a_at,up
0.8384416,10.41282462,interacts with,C134_0111_a_at (interacts with) C134_0022_a_at,FALSE,interacts with,C134_0111_a_at (interacts with) C134_0022_a_at,up
0.7787984,12.68011654,interacts with,C134_0111_a_at (interacts with) C134_0028_a_at,FALSE,interacts with,C134_0111_a_at (interacts with) C134_0028_a_at,up
0.7280729,6.94649236,interacts with,C134_0111_a_at (interacts with) C134_0038_a_at,FALSE,interacts with,C134_0111_a_at (interacts with) C134_0038_a_at,up
0.8066781,12.48625728,interacts with,C134_0111_a_at (interacts with) C134_0082_a_at,FALSE,interacts with,C134_0111_a_at (interacts with) C134_0082_a_at,up
0.7709313,12.16525787,interacts with,C134_0111_a_at (interacts with) C134_0088_a_at,FALSE,interacts with,C134_0111_a_at (interacts with) C134_0088_a_at,up
0.8320087,12.22218716,interacts with,C134_0111_a_at (interacts with) C134_0092_a_at,FALSE,interacts with,C134_0111_a_at (interacts with) C134_0092_a_at,up
0.7199588,9.02754038,interacts with,C134_0111_a_at (interacts with) C134_0101_a_at,FALSE,interacts with,C134_0111_a_at (interacts with) C134_0101_a_at,up
0.7030177,23.87577919,interacts with,C134_0112_a_at (interacts with) C134_0111_a_at,FALSE,interacts with,C134_0112_a_at (interacts with) C134_0111_a_at,up
0.707373,14.81846032,interacts with,C134_0113_a_at (interacts with) C134_0051_a_at,FALSE,interacts with,C134_0113_a_at (interacts with) C134_0051_a_at,up
0.7991083,7.58152218,interacts with,C134_0113_a_at (interacts with) C134_0056_at,FALSE,interacts with,C134_0113_a_at (interacts with) C134_0056_at,up
0.7275378,9.64886228,interacts with,C134_0116_a_at (interacts with) C134_0010_a_at,FALSE,interacts with,C134_0116_a_at (interacts with) C134_0010_a_at,up
0.7037101,17.31649618,interacts with,C134_0116_a_at (interacts with) C134_0018_a_at,FALSE,interacts with,C134_0116_a_at (interacts with) C134_0018_a_at,up
0.7096524,18.69686959,interacts with,C134_0116_a_at (interacts with) C134_0056_at,FALSE,interacts with,C134_0116_a_at (interacts with) C134_0056_at,up
0.7609724,9.50461537,interacts with,C134_0116_a_at (interacts with) C134_0100_a_at,FALSE,interacts with,C134_0116_a_at (interacts with) C134_0100_a_at,up
0.7004811,19.44210378,interacts with,C134_0117_a_at (interacts with) C134_0029_a_at,FALSE,interacts with,C134_0117_a_at (interacts with) C134_0029_a_at,down
0.7332267,24.53422415,interacts with,C134_0117_a_at (interacts with) C134_0098_a_at,FALSE,interacts with,C134_0117_a_at (interacts with) C134_0098_a_at,up
0.7039528,100.4722804,interacts with,C134_0118_a_at (interacts with) C134_0098_a_at,FALSE,interacts with,C134_0118_a_at (interacts with) C134_0098_a_at,up
0.7387,39.18735516,interacts with,C134_0118_a_at (interacts with) C134_0099_a_at,FALSE,interacts with,C134_0118_a_at (interacts with) C134_0099_a_at,up
0.7299551,8.31589801,interacts with,C134_0119_a_at (interacts with) C134_0054_a_at,FALSE,interacts with,C134_0119_a_at (interacts with) C134_0054_a_at,up
0.8203683,17.87808831,interacts with,C134_0121_a_at (interacts with) C134_0015_a_at,FALSE,interacts with,C134_0121_a_at (interacts with) C134_0015_a_at,up
0.7243654,20.11671705,interacts with,C134_0121_a_at (interacts with) C134_0029_a_at,FALSE,interacts with,C134_0121_a_at (interacts with) C134_0029_a_at,up
0.743818,12.77755706,interacts with,C134_0121_a_at (interacts with) C134_0093_a_at,FALSE,interacts with,C134_0121_a_at (interacts with) C134_0093_a_at,up
0.7288185,6.29383497,interacts with,C134_0121_a_at (interacts with) C134_0107_a_at,FALSE,interacts with,C134_0121_a_at (interacts with) C134_0107_a_at,up
0.7206784,26.73096427,interacts with,C134_0122_a_at (interacts with) C134_0015_a_at,FALSE,interacts with,C134_0122_a_at (interacts with) C134_0015_a_at,up
0.732167,16.33053816,interacts with,C134_0122_a_at (interacts with) C134_0029_a_at,FALSE,interacts with,C134_0122_a_at (interacts with) C134_0029_a_at,up
0.7232467,9.51530644,interacts with,C134_0122_a_at (interacts with) C134_0121_a_at,FALSE,interacts with,C134_0122_a_at (interacts with) C134_0121_a_at,up
0.8150803,6.76522163,interacts with,C134_0123_a_at (interacts with) C134_0023_a_at,FALSE,interacts with,C134_0123_a_at (interacts with) C134_0023_a_at,up
0.7599539,8.40806548,interacts with,C134_0123_a_at (interacts with) C134_0024_a_at,FALSE,interacts with,C134_0123_a_at (interacts with) C134_0024_a_at,up
0.766165,17.83697504,interacts with,C134_0123_a_at (interacts with) C134_0025_a_at,FALSE,interacts with,C134_0123_a_at (interacts with) C134_0025_a_at,up
0.7973732,9.17247588,interacts with,C134_0123_a_at (interacts with) C134_0029_a_at,FALSE,interacts with,C134_0123_a_at (interacts with) C134_0029_a_at,up
0.7502556,14.60404417,interacts with,C134_0123_a_at (interacts with) C134_0093_a_at,FALSE,interacts with,C134_0123_a_at (interacts with) C134_0093_a_at,up
0.7354748,13.80842994,interacts with,C134_0123_a_at (interacts with) C134_0097_a_at,FALSE,interacts with,C134_0123_a_at (interacts with) C134_0097_a_at,up
0.7007855,23.64096098,interacts with,C134_0123_a_at (interacts with) C134_0098_a_at,FALSE,interacts with,C134_0123_a_at (interacts with) C134_0098_a_at,down
0.7634953,11.64911529,interacts with,C134_0123_a_at (interacts with) C134_0122_a_at,FALSE,interacts with,C134_0123_a_at (interacts with) C134_0122_a_at,up
0.7116417,18.33333333,interacts with,C134_0124_a_at (interacts with) C134_0009_a_at,FALSE,interacts with,C134_0124_a_at (interacts with) C134_0009_a_at,down
0.7119704,12.86666667,interacts with,C134_0124_a_at (interacts with) C134_0120_a_at,FALSE,interacts with,C134_0124_a_at (interacts with) C134_0120_a_at,up
0.7374018,29.55841891,interacts with,C134_0125_a_at (interacts with) C134_0023_a_at,FALSE,interacts with,C134_0125_a_at (interacts with) C134_0023_a_at,up
0.7053546,19.75750577,interacts with,C134_0125_a_at (interacts with) C134_0123_a_at,FALSE,interacts with,C134_0125_a_at (interacts with) C134_0123_a_at,up
0.7356473,7.83855607,interacts with,C134_0130_a_at (interacts with) C134_0001_a_at,FALSE,interacts with,C134_0130_a_at (interacts with) C134_0001_a_at,up
0.725424,31.69181077,interacts with,C134_0134_a_at (interacts with) C134_0015_a_at,FALSE,interacts with,C134_0134_a_at (interacts with) C134_0015_a_at,down
0.7647396,21.691547,interacts with,C134_0134_a_at (interacts with) C134_0029_a_at,FALSE,interacts with,C134_0134_a_at (interacts with) C134_0029_a_at,down
0.8941683,10.59672371,interacts with,C134_0134_a_at (interacts with) C134_0098_a_at,FALSE,interacts with,C134_0134_a_at (interacts with) C134_0098_a_at,up
0.8980698,7.4138292,interacts with,C134_0134_a_at (interacts with) C134_0099_a_at,FALSE,interacts with,C134_0134_a_at (interacts with) C134_0099_a_at,up
0.7455025,19.88756348,interacts with,C134_0134_a_at (interacts with) C134_0117_a_at,FALSE,interacts with,C134_0134_a_at (interacts with) C134_0117_a_at,up
0.7337448,47.39104006,interacts with,C134_0134_a_at (interacts with) C134_0118_a_at,FALSE,interacts with,C134_0134_a_at (interacts with) C134_0118_a_at,up
0.7712809,9.27783218,interacts with,C134_0135_a_at (interacts with) C134_0010_a_at,FALSE,interacts with,C134_0135_a_at (interacts with) C134_0010_a_at,up
0.8029728,16.12883232,interacts with,C134_0135_a_at (interacts with) C134_0018_a_at,FALSE,interacts with,C134_0135_a_at (interacts with) C134_0018_a_at,up
0.7367359,24.05128429,interacts with,C134_0135_a_at (interacts with) C134_0056_at,FALSE,interacts with,C134_0135_a_at (interacts with) C134_0056_at,up
0.8912552,7.51533498,interacts with,C134_0135_a_at (interacts with) C134_0100_a_at,FALSE,interacts with,C134_0135_a_at (interacts with) C134_0100_a_at,up
0.785946,5.77229581,interacts with,C134_0135_a_at (interacts with) C134_0116_a_at,FALSE,interacts with,C134_0135_a_at (interacts with) C134_0116_a_at,up
0.7745305,3,interacts with,C134_0138_at (interacts with) C134_0127_at,FALSE,interacts with,C134_0138_at (interacts with) C134_0127_at,up
0.8282844,4,interacts with,C134_0140_a_at (interacts with) C134_0139_a_at,FALSE,interacts with,C134_0140_a_at (interacts with) C134_0139_a_at,up
0.7064645,29.37129834,interacts with,C134_0142_a_at (interacts with) C134_0022_a_at,FALSE,interacts with,C134_0142_a_at (interacts with) C134_0022_a_at,down
0.7559246,30.86377054,interacts with,C134_0142_a_at (interacts with) C134_0092_a_at,FALSE,interacts with,C134_0142_a_at (interacts with) C134_0092_a_at,down
0.7690367,14.45436179,interacts with,C134_0143_a_at (interacts with) C134_0015_a_at,FALSE,interacts with,C134_0143_a_at (interacts with) C134_0015_a_at,down
0.8272213,10.11410345,interacts with,C134_0143_a_at (interacts with) C134_0029_a_at,FALSE,interacts with,C134_0143_a_at (interacts with) C134_0029_a_at,down
0.7010834,19.85442723,interacts with,C134_0143_a_at (interacts with) C134_0093_a_at,FALSE,interacts with,C134_0143_a_at (interacts with) C134_0093_a_at,down
0.8389301,7.76824879,interacts with,C134_0143_a_at (interacts with) C134_0098_a_at,FALSE,interacts with,C134_0143_a_at (interacts with) C134_0098_a_at,up
0.8540437,7.3030982,interacts with,C134_0143_a_at (interacts with) C134_0099_a_at,FALSE,interacts with,C134_0143_a_at (interacts with) C134_0099_a_at,up
0.7670124,16.14010831,interacts with,C134_0143_a_at (interacts with) C134_0123_a_at,FALSE,interacts with,C134_0143_a_at (interacts with) C134_0123_a_at,down
0.8190522,10.5429951,interacts with,C134_0143_a_at (interacts with) C134_0134_a_at,FALSE,interacts with,C134_0143_a_at (interacts with) C134_0134_a_at,up
0.7714393,6.96973213,interacts with,C134_0145_a_at (interacts with) C134_0026_a_at,FALSE,interacts with,C134_0145_a_at (interacts with) C134_0026_a_at,up
0.8635605,12.62234928,interacts with,C134_0148_at (interacts with) C134_0015_a_at,FALSE,interacts with,C134_0148_at (interacts with) C134_0015_a_at,up
0.7649139,13.72753631,interacts with,C134_0148_at (interacts with) C134_0024_a_at,FALSE,interacts with,C134_0148_at (interacts with) C134_0024_a_at,up
0.7306367,22.99319518,interacts with,C134_0148_at (interacts with) C134_0074_a_at,FALSE,interacts with,C134_0148_at (interacts with) C134_0074_a_at,down
0.7329019,13.08862749,interacts with,C134_0148_at (interacts with) C134_0093_a_at,FALSE,interacts with,C134_0148_at (interacts with) C134_0093_a_at,up
0.7600942,7.51968346,interacts with,C134_0148_at (interacts with) C134_0121_a_at,FALSE,interacts with,C134_0148_at (interacts with) C134_0121_a_at,up
0.7624979,25.68408886,interacts with,C134_0154_at (interacts with) C134_0015_a_at,FALSE,interacts with,C134_0154_at (interacts with) C134_0015_a_at,up
0.7066949,9.98221556,interacts with,C134_0154_at (interacts with) C134_0024_a_at,FALSE,interacts with,C134_0154_at (interacts with) C134_0024_a_at,up
0.7623121,9.17867309,interacts with,C134_0154_at (interacts with) C134_0025_a_at,FALSE,interacts with,C134_0154_at (interacts with) C134_0025_a_at,up
0.7277248,12.57132361,interacts with,C134_0154_at (interacts with) C134_0093_a_at,FALSE,interacts with,C134_0154_at (interacts with) C134_0093_a_at,up
0.7396125,7.68895214,interacts with,C134_0154_at (interacts with) C134_0121_a_at,FALSE,interacts with,C134_0154_at (interacts with) C134_0121_a_at,up
0.7289059,13.51594647,interacts with,C134_0154_at (interacts with) C134_0123_a_at,FALSE,interacts with,C134_0154_at (interacts with) C134_0123_a_at,up
0.7131287,22.88012298,interacts with,C134_0154_at (interacts with) C134_0143_a_at,FALSE,interacts with,C134_0154_at (interacts with) C134_0143_a_at,down
0.741954,31.12496129,interacts with,C134_0155_at (interacts with) C134_0015_a_at,FALSE,interacts with,C134_0155_at (interacts with) C134_0015_a_at,up
0.7013592,19.38963397,interacts with,C134_0155_at (interacts with) C134_0143_a_at,FALSE,interacts with,C134_0155_at (interacts with) C134_0143_a_at,down
0.7078929,11.42544815,interacts with,C134_0155_at (interacts with) C134_0154_at,FALSE,interacts with,C134_0155_at (interacts with) C134_0154_at,up
