"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","degree.layout","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1.125","0.05","0.88888889","0.80952381","7","7","2","false","araA_b0062_15","6.0","7","0","0","0.95833333","false","0","araA_b0062_15","12","0.75"
"1.125","0.05","0.88888889","0.80952381","7","7","2","false","araD_b0061_15","6.0","7","0","0","0.95833333","false","0","araD_b0061_15","12","0.75"
"1.125","0.05","0.88888889","0.80952381","7","7","2","false","araE_b2841_15","6.0","7","0","0","0.95833333","false","0","araE_b2841_15","12","0.75"
"1.0","0.66666667","1.0","0.33333333","3","3","1","false","araF_b1901_15","1.66666667","3","0","0","1.0","false","0","araF_b1901_15","4","0.66666667"
"1.66666667","0.0","0.6","0.0","1","1","2","false","araC_b0064_15","3.0","1","0","0","0.66666667","false","0","araC_b0064_15","0","0.0"
"1.33333333","0.0","0.75","1.0","2","2","2","false","araG_b1900_15","2.5","2","0","0","0.83333333","false","0","araG_b1900_15","0","0.83333333"
"1.33333333","0.0","0.75","1.0","2","2","2","false","araH_b4460_28","2.5","2","0","0","0.83333333","false","0","araH_b4460_28","0","0.83333333"
"1.5","0.0","0.66666667","1.0","5","5","3","false","araJ_b0396_15","6.8","5","0","0","0.83333333","false","0","araJ_b0396_15","0","0.97142857"
"2.01948052","7.346E-5","0.49517685","0.94761905","21","21","3","false","argB_b3959_15","80.28571429","21","0","0","0.74512987","false","0","argB_b3959_15","56","0.61758242"
"1.3961039","0.00737286","0.71627907","0.6874857","94","94","3","false","argA_b2818_15","74.80851064","94","0","0","0.90097403","false","0","argA_b2818_15","7224","0.48894451"
"1.74025974","0.00136319","0.57462687","0.83510204","50","50","3","false","argC_b3958_15","77.18","50","0","0","0.81493506","false","0","argC_b3958_15","1156","0.53597222"
"1.64285714","0.00224248","0.60869565","0.81157194","63","63","3","false","argD_b3359_15","77.17460317","63","0","0","0.83928571","false","0","argD_b3359_15","1930","0.52859317"
"1.37662338","0.00982433","0.72641509","0.64239691","97","97","3","false","argF_b0273_15","73.03092784","97","0","0","0.90584416","false","0","argF_b0273_15","9172","0.47732633"
"1.44155844","0.00518957","0.69369369","0.72681101","87","87","3","false","argG_b3172_15","76.3908046","87","0","0","0.88961039","false","0","argG_b3172_15","4336","0.4992863"
"2.12987013","1.0028E-4","0.4695122","0.86666667","15","15","3","false","argH_b3960_15","66.66666667","15","0","0","0.71753247","false","0","argH_b3960_15","62","0.56022409"
"1.49350649","0.00297561","0.66956522","0.77436709","80","80","3","false","argI_b4254_14","78.85","80","0","0","0.87662338","false","0","argI_b4254_14","3164","0.51875"
"2.25","0.0052996","0.44444444","0.5","4","4","3","false","argK_b2918_14","13.75","4","0","0","0.6875","false","0","argK_b2918_14","68","0.54"
"1.42857143","0.01190476","0.7","0.9","5","5","3","false","argQ_b2691_19","5.4","5","0","0","0.85714286","false","0","argQ_b2691_19","2","0.9"
"1.28571429","0.02380952","0.77777778","0.9","5","5","2","false","alaT_b3853_20","5.6","5","0","0","0.9047619","false","0","alaT_b3853_20","4","0.8"
"1.51898734","0.06771444","0.65833333","0.38792102","42","42","4","false","argS_b1876_15","23.45238095","42","0","0","0.89620253","false","0","argS_b1876_15","3388","0.30858396"
"1.65822785","0.01160069","0.60305344","0.58494624","31","31","4","false","ansA_b1767_14","29.03225806","31","0","0","0.86835443","false","0","ansA_b1767_14","1038","0.3820034"
"1.36363636","0.07727273","0.73333333","0.71428571","7","7","2","false","arnA_b2255_14","6.28571429","7","0","0","0.90909091","false","0","arnA_b2255_14","36","0.57142857"
"1.45454545","0.08181818","0.6875","0.66666667","7","7","3","false","ais_b2252_15","5.85714286","7","0","0","0.88636364","false","0","ais_b2252_15","30","0.58571429"
"1.45454545","0.0530303","0.6875","0.8","6","6","2","false","arnB_b2253_15","6.83333333","6","0","0","0.88636364","false","0","arnB_b2253_15","28","0.62121212"
"1.27272727","0.23333333","0.78571429","0.57142857","8","8","2","false","arnC_b2254_15","5.75","8","0","0","0.93181818","false","0","arnC_b2254_15","72","0.52272727"
"1.54545455","0.06363636","0.64705882","0.73333333","6","6","3","false","arnT_b2257_15","6.33333333","6","0","0","0.86363636","false","0","arnT_b2257_15","24","0.63333333"
"1.47402597","0.01341517","0.6784141","0.7001368","86","86","3","false","aroA_b0908_15","75.18604651","86","0","0","0.88149351","false","0","aroA_b0908_15","8728","0.50460434"
"1.68043478","0.00376997","0.59508409","0.53094088","162","162","3","false","aroB_b3389_14","144.89506173","162","0","0","0.86391304","false","0","aroB_b3389_14","69804","0.32560688"
"1.70779221","0.0025665","0.58555133","0.7462406","57","57","3","false","aroD_b1693_15","73.36842105","57","0","0","0.82305195","false","0","aroD_b1693_15","1704","0.51667902"
"1.42207792","0.00778906","0.70319635","0.6693741","92","92","3","false","aroG_b0754_15","74.66304348","92","0","0","0.89448052","false","0","aroG_b0754_15","6664","0.49445724"
"1.5326087","0.00628864","0.65248227","0.49364798","226","226","3","false","aroK_b3390_14","139.08849558","226","0","0","0.89347826","false","0","aroK_b3390_14","101790","0.30977393"
"1.47402597","0.00577973","0.6784141","0.72200999","83","83","3","false","aroP_b0112_14","75.18072289","83","0","0","0.88149351","false","0","aroP_b0112_14","5492","0.49461002"
"1.975","9.0812E-4","0.50632911","0.8","6","6","3","false","arsR_b3501_15","19.16666667","6","0","0","0.75625","false","0","arsR_b3501_15","12","0.54761905"
"1.31818182","0.01448509","0.75862069","0.61978022","105","105","2","false","artJ_b0860_14","71.82857143","105","0","0","0.92045455","false","0","artJ_b0860_14","11492","0.46641929"
"1.33333333","0.0","0.75","1.0","2","2","2","false","artP_b0864_15","2.5","2","0","0","0.83333333","false","0","artP_b0864_15","0","0.83333333"
"1.33333333","0.0","0.75","1.0","2","2","2","false","artI_b0863_14","2.5","2","0","0","0.83333333","false","0","artI_b0863_14","0","0.83333333"
"1.0","0.66666667","1.0","0.33333333","3","3","1","false","artQ_b0862_14","1.66666667","3","0","0","1.0","false","0","artQ_b0862_14","4","0.66666667"
"1.66666667","0.0","0.6","0.0","1","1","2","false","artM_b0861_14","3.0","1","0","0","0.66666667","false","0","artM_b0861_14","0","0.0"
"1.85526316","0.01759032","0.53900709","0.50292398","19","19","3","false","aspC_b0928_14","23.47368421","19","0","0","0.78618421","false","0","aspC_b0928_14","852","0.34520124"
"1.64473684","0.03667425","0.608","0.51724138","29","29","3","false","aroH_b1704_15","24.72413793","29","0","0","0.83881579","false","0","aroH_b1704_15","1542","0.33821445"
"1.82278481","0.00737769","0.54861111","0.64935065","22","22","3","false","aspS_b1866_15","27.54545455","22","0","0","0.83544304","false","0","aspS_b1866_15","676","0.38796415"
"1.5","0.0","0.66666667","0.0","1","1","2","false","aspT_b3760_14","2.0","1","0","0","0.75","false","0","aspT_b3760_14","0","0.0"
"1.0","1.0","1.0","0.0","2","2","1","false","asnT_b1977_20","1.0","2","0","0","1.0","false","0","asnT_b1977_20","2","0.0"
"2.06363636","7.8701E-4","0.4845815","0.75168691","39","39","4","false","astA_b1747_14","72.30769231","39","0","0","0.78727273","false","0","astA_b1747_14","2370","0.43040293"
